vecID,depart,arrival
0,0.00,885.00
1,0.00,352.00
2,0.00,848.00
3,0.00,958.00
4,3.00,1124.00
5,0.00,1024.00
6,0.00,1435.00
7,0.00,987.00
8,3.00,1296.00
9,0.00,966.00
10,0.00,908.00
11,3.00,1167.00
12,0.00,990.00
13,3.00,839.00
14,0.00,1108.00
15,0.00,755.00
16,6.00,689.00
17,3.00,1064.00
18,0.00,1628.00
19,0.00,1274.00
20,0.00,760.00
21,0.00,707.00
22,0.00,1025.00
23,0.00,1039.00
24,3.00,949.00
25,3.00,907.00
26,3.00,1355.00
27,0.00,815.00
28,9.00,647.00
29,0.00,894.00
30,0.00,342.00
31,6.00,725.00
32,3.00,1438.00
33,0.00,781.00
34,0.00,1004.00
35,0.00,1211.00
36,9.00,702.00
37,3.00,1094.00
38,6.00,1128.00
39,6.00,759.00
40,0.00,875.00
41,3.00,973.00
42,9.00,889.00
43,12.00,957.00
44,0.00,1009.00
45,12.00,298.00
46,0.00,1849.00
47,12.00,689.00
48,0.00,1112.00
49,15.00,616.00
