vecID,depart,arrival
0,18000.00,22395.00
1,18000.00,25396.00
2,18000.00,27949.00
3,18000.00,27328.00
4,18003.00,28572.00
5,18000.00,23613.00
6,18000.00,26636.00
7,18000.00,22406.00
8,18003.00,26113.00
9,18000.00,27785.00
10,18000.00,24576.00
11,18003.00,20517.00
12,18000.00,27173.00
13,18003.00,20456.00
14,18000.00,27028.00
15,18000.00,27754.00
16,18006.00,27690.00
17,18003.00,27252.00
18,18000.00,23318.00
19,18000.00,22244.00
20,18000.00,23605.00
21,18000.00,29151.00
22,18000.00,22176.00
23,18000.00,27233.00
24,18003.00,21200.00
25,18003.00,21837.00
26,18003.00,24416.00
27,18000.00,26108.00
28,18009.00,19908.00
29,18000.00,28883.00
30,18000.00,21878.00
31,18006.00,24646.00
32,18003.00,22677.00
33,18000.00,20131.00
34,18000.00,28725.00
35,18000.00,22541.00
36,18009.00,23114.00
37,18003.00,24759.00
38,18006.00,27498.00
39,18006.00,25176.00
40,18000.00,27017.00
41,18003.00,21584.00
42,18009.00,28881.00
43,18012.00,29304.00
44,18060.00,28104.00
45,18060.00,23333.00
46,18060.00,27139.00
47,18060.00,19875.00
48,18060.00,26944.00
49,18063.00,27985.00
50,18060.00,25471.00
51,18063.00,20890.00
52,18060.00,24615.00
53,18060.00,25866.00
54,18060.00,21067.00
55,18060.00,27120.00
56,18066.00,28209.00
57,18060.00,28313.00
58,18063.00,27074.00
59,18063.00,25960.00
60,18060.00,21007.00
61,18060.00,30165.00
62,18066.00,23159.00
63,18063.00,23428.00
64,18060.00,20221.00
65,18060.00,21312.00
66,18060.00,23817.00
67,18060.00,25297.00
68,18060.00,20690.00
69,18060.00,23453.00
70,18120.00,27271.00
71,18120.00,25551.00
72,18120.00,26888.00
73,18120.00,27428.00
74,18120.00,22321.00
75,18120.00,28591.00
76,18120.00,28116.00
77,18120.00,25862.00
78,18120.00,27122.00
79,18120.00,25377.00
80,18120.00,22506.00
81,18120.00,25645.00
82,18123.00,27782.00
83,18120.00,28984.00
84,18123.00,22450.00
85,18126.00,22396.00
86,18120.00,20055.00
87,18120.00,27616.00
88,18123.00,23247.00
89,18126.00,23038.00
90,18120.00,25076.00
91,18123.00,28160.00
92,18120.00,30228.00
93,18120.00,25593.00
94,18120.00,24446.00
95,18180.00,25085.00
96,18180.00,22306.00
97,18180.00,20745.00
98,18180.00,28584.00
99,18180.00,25039.00
100,18183.00,25937.00
101,18180.00,27440.00
102,18180.00,25109.00
103,18183.00,22435.00
104,18180.00,28511.00
105,18183.00,24049.00
106,18180.00,20628.00
107,18180.00,26048.00
108,18180.00,23199.00
109,18180.00,25642.00
110,18180.00,24575.00
111,18180.00,22066.00
112,18180.00,27081.00
113,18240.00,24747.00
114,18240.00,19853.00
115,18240.00,20661.00
116,18240.00,21336.00
117,18240.00,23932.00
118,18240.00,27013.00
119,18240.00,28636.00
120,18240.00,22165.00
121,18240.00,22908.00
122,18240.00,26550.00
123,18240.00,24929.00
124,18240.00,28694.00
125,18240.00,28758.00
126,18240.00,21704.00
127,18240.00,29285.00
128,18300.00,29577.00
129,18300.00,29249.00
130,18300.00,25205.00
131,18300.00,23573.00
132,18300.00,20561.00
133,18360.00,21816.00
134,18360.00,25198.00
135,18360.00,20728.00
136,18360.00,23118.00
137,18420.00,24959.00
138,18420.00,22353.00
139,18420.00,24073.00
140,18420.00,22362.00
141,18420.00,25856.00
142,18480.00,23917.00
143,18480.00,27087.00
144,18480.00,27665.00
145,18480.00,23522.00
146,18480.00,27726.00
147,18480.00,28134.00
148,18480.00,27831.00
149,18480.00,25876.00
150,18480.00,20770.00
151,18483.00,26932.00
152,18483.00,26340.00
153,18483.00,25168.00
154,18480.00,20821.00
155,18480.00,27032.00
156,18486.00,23224.00
157,18480.00,22415.00
158,18483.00,21437.00
159,18540.00,28738.00
160,18540.00,29319.00
161,18540.00,23001.00
162,18543.00,24417.00
163,18540.00,25301.00
164,18540.00,23962.00
165,18540.00,25290.00
166,18546.00,25307.00
167,18540.00,23670.00
168,18540.00,25546.00
169,18540.00,29549.00
170,18540.00,22169.00
171,18540.00,29944.00
172,18540.00,24713.00
173,18549.00,28108.00
174,18552.00,25140.00
175,18540.00,23124.00
176,18540.00,29877.00
177,18600.00,26334.00
178,18600.00,26027.00
179,18600.00,24266.00
180,18600.00,26727.00
181,18600.00,23815.00
182,18600.00,27330.00
183,18600.00,24464.00
184,18600.00,28061.00
185,18600.00,24855.00
186,18600.00,29480.00
187,18660.00,28718.00
188,18660.00,24541.00
189,18660.00,28752.00
190,18660.00,21135.00
191,18663.00,26420.00
192,18660.00,24688.00
193,18663.00,20608.00
194,18660.00,25519.00
195,18660.00,28167.00
196,18666.00,26563.00
197,18720.00,27377.00
198,18720.00,29041.00
199,18720.00,21110.00
200,18960.00,24512.00
201,18960.00,27774.00
202,18960.00,25564.00
203,18960.00,29339.00
204,18960.00,23730.00
205,18960.00,28319.00
206,18962.00,27767.00
207,18965.00,25315.00
208,18960.00,24464.00
209,18960.00,29230.00
210,18960.00,23043.00
211,18968.00,24375.00
212,18963.00,27971.00
213,18963.00,26712.00
214,18972.00,29463.00
215,18960.00,27565.00
216,18960.00,26878.00
217,18960.00,23302.00
218,19020.00,25553.00
219,19020.00,22124.00
220,19020.00,21990.00
221,19023.00,28465.00
222,19020.00,30395.00
223,19020.00,30580.00
224,19020.00,28027.00
225,19020.00,25077.00
226,19020.00,28514.00
227,19020.00,28635.00
228,19080.00,21749.00
229,19140.00,24827.00
230,19140.00,25601.00
231,19140.00,22207.00
232,19140.00,24477.00
233,19143.00,22754.00
234,19146.00,23282.00
235,19200.00,21691.00
236,19260.00,28467.00
237,19320.00,21259.00
238,19380.00,27139.00
239,19440.00,27187.00
240,19440.00,24300.00
241,19440.00,22967.00
242,19440.00,28797.00
243,19440.00,24207.00
244,19443.00,21592.00
245,19440.00,25051.00
246,19440.00,29992.00
247,19440.00,25966.00
248,19443.00,24552.00
249,19440.00,30717.00
250,19443.00,23840.00
251,19446.00,24574.00
252,19440.00,30632.00
253,19440.00,25358.00
254,19440.00,26425.00
255,19449.00,26390.00
256,19440.00,23222.00
257,19443.00,28790.00
258,19440.00,24861.00
259,19440.00,31731.00
260,19452.00,24129.00
261,19443.00,21853.00
262,19446.00,29953.00
263,19500.00,23201.00
264,19500.00,22705.00
265,19500.00,30947.00
266,19500.00,25532.00
267,19500.00,27954.00
268,19500.00,23546.00
269,19500.00,24317.00
270,19500.00,23700.00
271,19500.00,22194.00
272,19500.00,30977.00
273,19503.00,28554.00
274,19501.00,30381.00
275,19500.00,30276.00
276,19500.00,27258.00
277,19504.00,28009.00
278,19500.00,28613.00
279,19500.00,25360.00
280,19560.00,24586.00
281,19560.00,31373.00
282,19560.00,24589.00
283,19563.00,26381.00
284,19560.00,28292.00
285,19563.00,22224.00
286,19560.00,26810.00
287,19620.00,21861.00
288,19623.00,27058.00
289,19680.00,30616.00
290,19680.00,30220.00
291,19680.00,29286.00
292,19680.00,22083.00
293,19740.00,27945.00
294,19740.00,27602.00
295,19740.00,23021.00
296,19740.00,27301.00
297,19740.00,28729.00
298,19800.00,21614.00
299,19800.00,24196.00
300,19800.00,21951.00
301,19800.00,29930.00
302,19800.00,26627.00
303,19800.00,26849.00
304,19800.00,28289.00
305,19800.00,22927.00
306,19800.00,23148.00
307,19860.00,30453.00
308,19860.00,25012.00
309,19860.00,31543.00
310,19860.00,26548.00
311,19860.00,24257.00
312,19860.00,23014.00
313,19920.00,22808.00
314,19920.00,28365.00
315,19920.00,24127.00
316,19920.00,22496.00
317,19920.00,31064.00
318,19980.00,26652.00
319,20040.00,30528.00
320,20040.00,26596.00
321,20040.00,28592.00
322,20040.00,22669.00
323,20040.00,22265.00
324,20040.00,23467.00
325,20100.00,22292.00
326,20100.00,29586.00
327,20100.00,25255.00
328,20220.00,28804.00
329,20280.00,30081.00
330,20340.00,31033.00
331,20400.00,25371.00
332,20400.00,29352.00
333,20520.00,24815.00
334,20520.00,23215.00
335,20520.00,31873.00
336,20640.00,30609.00
337,20760.00,24276.00
338,20760.00,24254.00
339,20820.00,27447.00
340,20820.00,30988.00
341,20823.00,26907.00
342,20880.00,31421.00
343,20880.00,32575.00
344,20880.00,32014.00
345,20880.00,31676.00
346,20880.00,24981.00
347,20880.00,27662.00
348,20883.00,30567.00
349,20880.00,23018.00
350,20880.00,30851.00
351,20886.00,31653.00
352,20883.00,26161.00
353,20886.00,24689.00
354,20940.00,30607.00
355,20940.00,29637.00
356,20940.00,28115.00
357,20940.00,31720.00
