vecID,depart,arrival
0,18000.00,24914.00
1,18000.00,22581.00
2,18000.00,28118.00
3,18000.00,24717.00
4,18003.00,26502.00
5,18000.00,20103.00
6,18000.00,25646.00
7,18000.00,26186.00
8,18003.00,23412.00
9,18000.00,25985.00
10,18000.00,24666.00
11,18003.00,23126.00
12,18000.00,26442.00
13,18003.00,21988.00
14,18000.00,25411.00
15,18000.00,26498.00
16,18006.00,23188.00
17,18003.00,28068.00
18,18000.00,26648.00
19,18000.00,27194.00
20,18000.00,25768.00
21,18000.00,23505.00
22,18000.00,29376.00
23,18000.00,27506.00
24,18003.00,22549.00
25,18003.00,25617.00
26,18003.00,26058.00
27,18000.00,28778.00
28,18009.00,22988.00
29,18000.00,21235.00
30,18000.00,24044.00
31,18006.00,20774.00
32,18003.00,28977.00
33,18000.00,22201.00
34,18000.00,24764.00
35,18000.00,22815.00
36,18009.00,22483.00
37,18003.00,20619.00
38,18006.00,21738.00
39,18006.00,29019.00
40,18000.00,25036.00
41,18003.00,24104.00
42,18009.00,20331.00
43,18012.00,20846.00
44,18060.00,21622.00
45,18060.00,22854.00
46,18060.00,24709.00
47,18060.00,22125.00
48,18060.00,26223.00
49,18063.00,24141.00
50,18060.00,21873.00
51,18063.00,22059.00
52,18060.00,21824.00
53,18060.00,20370.00
54,18060.00,26556.00
55,18060.00,22170.00
56,18066.00,26771.00
57,18060.00,20843.00
58,18063.00,23203.00
59,18063.00,29385.00
60,18060.00,24787.00
61,18060.00,28452.00
62,18066.00,27749.00
63,18063.00,26760.00
64,18060.00,27061.00
65,18060.00,28333.00
66,18060.00,28857.00
67,18060.00,27011.00
68,18060.00,23479.00
69,18060.00,24982.00
70,18120.00,24211.00
71,18120.00,29150.00
72,18120.00,22122.00
73,18120.00,29318.00
74,18120.00,25110.00
75,18120.00,28232.00
76,18120.00,28745.00
77,18120.00,26669.00
78,18120.00,27753.00
79,18120.00,23923.00
80,18120.00,28627.00
81,18120.00,22045.00
82,18123.00,25894.00
83,18120.00,24846.00
84,18123.00,25239.00
85,18126.00,29057.00
86,18120.00,23657.00
87,18120.00,25095.00
88,18123.00,23427.00
89,18126.00,24296.00
90,18120.00,28766.00
91,18123.00,23570.00
92,18120.00,29149.00
93,18120.00,29193.00
94,18120.00,21027.00
95,18180.00,25445.00
96,18180.00,25006.00
97,18180.00,23987.00
98,18180.00,21654.00
99,18180.00,23957.00
