vecID,depart,arrival
0,0.00,796.00
1,0.00,353.00
2,0.00,938.00
3,0.00,959.00
4,3.00,1123.00
5,0.00,1026.00
6,0.00,1436.00
7,0.00,985.00
8,3.00,1295.00
9,0.00,965.00
10,0.00,907.00
11,3.00,1166.00
12,0.00,975.00
13,3.00,836.00
14,0.00,1109.00
15,0.00,752.00
16,6.00,688.00
17,3.00,1063.00
18,0.00,1514.00
19,0.00,1274.00
20,0.00,758.00
21,0.00,707.00
22,0.00,1025.00
23,0.00,1039.00
24,3.00,951.00
25,3.00,906.00
26,3.00,1355.00
27,0.00,791.00
28,9.00,648.00
29,0.00,985.00
30,0.00,344.00
31,6.00,725.00
32,3.00,1341.00
33,0.00,781.00
34,0.00,1004.00
35,0.00,1212.00
36,9.00,792.00
37,3.00,1094.00
38,6.00,1219.00
39,6.00,758.00
40,0.00,865.00
41,3.00,974.00
42,9.00,891.00
43,12.00,956.00
44,0.00,1010.00
45,12.00,299.00
46,0.00,1849.00
47,12.00,688.00
48,0.00,1113.00
49,15.00,616.00
